title;authors;year;link
ВЫБОР ОПТИМАЛЬНОЙ СИСТЕМЫ РАЗРАБОТКИ ПО ОПЫТУ РАЗРАБОТКИ МЕСТОРОЖДЕНИЙ-АНАЛОГОВ НА ПРИМЕРЕ ПОЛЯРНОГО МЕСТОРОЖДЕНИЯ;Даценко Е.Н., Орлова И.О., Авакимян Н.Н.;2020;https://elibrary.ru/item.asp?id=43810388
РАЗРАБОТКА СПОСОБОВ УВЕЛИЧЕНИЯ НЕФТЕОТДАЧИ МЕСТОРОЖДЕНИЙ МАЛОПРОНИЦАЕМЫХ И ТРЕЩИННЫХ ПЛАСТОВ;Мамедова М.А.;2018;https://elibrary.ru/item.asp?id=35033775
СПРАВОЧНИК ПО ОХРАНЕ НЕДР. ПРАВИЛА ОХРАНЫ СООРУЖЕНИЙ И ПРИРОДНЫХ ОБЪЕКТОВ ОТ ВРЕДНОГО ВЛИЯНИЯ ПОДЗЕМНЫХ ГОРНЫХ РАЗРАБОТОК НА УГОЛЬНЫХ МЕСТОРОЖДЕНИЯХ;;2011;https://elibrary.ru/item.asp?id=19602784
DEVELOPMENT OF INFORMATION RESOURSE FOR MINERAL WATER DEPOSITS KMV;Martirosyan K.V., Martirosyan A.V., Makarova A.A., Zyuzin A.S.;2020;https://elibrary.ru/item.asp?id=44715762
БОЛЬШОЙ СПРАВОЧНИК ИНЖЕНЕРА НЕФТЕГАЗОДОБЫЧИ. РАЗРАБОТКА МЕСТОРОЖДЕНИЙ. ОБОРУДОВАНИЕ И ТЕХНОЛОГИИ ДОБЫЧИ;;2009;https://elibrary.ru/item.asp?id=19602048
"ТЕЗИСЫ ДОКЛАДОВ СПЕЦИАЛИЗИРОВАННОЙ НАУЧНОЙ СЕКЦИИ ""А"" ПОВЫШЕНИЕ ЭФФЕКТИВНОСТИ РАЗРАБОТКИ НЕФТЯНЫХ И ГАЗОВЫХ МЕСТОРОЖДЕНИЙ";;2003;https://elibrary.ru/item.asp?id=19600249
A JUSTIFICATION OF THE APPLICATION OF LOW-MINERALIZED FLOODING AT THE LATER STAGE OF OFFSHORE OIL FIELD DEVELOPMENT (IN ENGLISH);Tananykhin D.S., Selimov A.D., Saychenko L.A.;2021;https://elibrary.ru/item.asp?id=47393661
РАЗРАБОТКА МЕСТОРОЖДЕНИЙ С ПРИМЕНЕНИЕМ ПАВ - ПОЛИМЕРНОГО ЗАВОДНЕНИЯ;Щербакова А.С.;2017;https://elibrary.ru/item.asp?id=29921593
АНАЛИЗ РАЗРАБОТКИ ТАЛИНСКОЙ ПЛОЩАДИ КРАСНОЛЕНИНСКОГО МЕСТОРОЖДЕНИЯ;Корзунин М.Ю.;2017;https://elibrary.ru/item.asp?id=29921585
ИССЛЕДОВАНИЕ ФАКТОРОВ И РЕАЛИЗАЦИЯ МЕР ДОЛГОВРЕМЕННОЙ ЭКСПЛУАТАЦИИ НЕФТЯНЫХ И ГАЗОВЫХ СКВАЖИН;Басарыгин Ю.М.;2004;https://elibrary.ru/item.asp?id=19600552
EFFECT OF OIL FIELD DEVELOPMENT ON THE GEODYNAMIC STATE OF THE INTERIOR OF THE EARTH;Baryakh A.A., Kudryashov A.I., Eremina N.A., Gracheva E.A.;1998;https://elibrary.ru/item.asp?id=13281160
KIMBERLITE DEPOSITS OPENCAST MINING INNOVATIVE TECHNOLOGY WITH VARIABLE GEOMETRY OF NON-MINING OPEN PIT EDGES (IN ENGLISH);Akishev A.N., Lel' Iu.I., Bokii I.V., Isakov S.V., Glebov I.A.;2018;https://elibrary.ru/item.asp?id=36573349
DƏNIZ NEFT- QAZ YATAQLARININ MƏNIMSƏNILMƏSINDƏ SUALTI ISTISMAR SISTEMLƏRININ TƏTBIQI;Məhərrəmov A.A.;2023;https://elibrary.ru/item.asp?id=53857196
HYDRODYNAMIC MODELING OF FIELD DEVELOPMENT USING ENHANCED OIL RECOVERY METHODS;Moldabayeva G.Zh., Agzamov A.Kh., Suleimenova R.T., Elefteriadi D.K., Abileva S.Zh., Baluanov B.A.;2021;https://elibrary.ru/item.asp?id=46421090
ЖАМАН-АЙБАТ КЕНОРНЫНДА ҚАЗУ ЖҮЙЕСІНІҢ ПАРАМЕТРЛЕРІН ГЕОМЕХАНИКАЛЫҚ НЕГІЗДЕУ;Балпанова М.Ж., Жараспаев М.А., Жиенбаев А.Б., Тажибаев Д.К.;2022;https://elibrary.ru/item.asp?id=50296399
MONITORING OF NATURAL COMPLEXES WHILE DEVELOPING AND OPERATING THE FIELDS OF TIMAN-PECHORA OIL AND GAS PROVINCE;Storchak T.V., Didenko I.N., Didenko N.A.;2020;https://elibrary.ru/item.asp?id=43037708
VERMIKULITDAN TURLI MAHSULOTLAR OLISH UCHUN DASTLABKI BOYITISH JARAYONLARI;Voxidov B.R., Aripov A.R., Sayfullayev F.I., Ikromov A.M.O.G.Li.;2023;https://elibrary.ru/item.asp?id=59403399
STUDYING HYDROGEOLOGICAL CONDITIONS FOR THE PURPOSE OF DEVELOPING METHODS OF DRYING THE WALLS OF ZHAIREM DEPOSIT DALNEZAPADNY SITE;Bilimova I., Ponomareva Ye., Ponomareva M.;2024;https://elibrary.ru/item.asp?id=65619337
RQD МАССИВІНІҢ БҮЗЫЛУ КӨРСЕТКІШІ НЕГІЗІНДЕ ҚҮРЫЛҒАН КЕНОРНЫНЫҢ ОҢАЙЛАТЫЛГАН ГЕОМЕХАНИКАЛЫҚ МОДЕЛІН ӘЗІРЛЕУ ЖӘНЕ ҚОЛДАНУ;Ананин А.И., Тунгушбаева З.К., Макаров А.Б., Апшикур Б., Берікбол¥лы А.;2023;https://elibrary.ru/item.asp?id=54797675
